Fri Jul 10 13:19:39 2020    rand_data_py_profile.txt

         525909358 function calls (521666802 primitive calls) in 236.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    17221    0.012    0.000    0.017    0.000 random.py:224(_randbelow)
     3256    0.012    0.000    0.016    0.000 Card_types.py:151(assign_ownership)
      502    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
     4176    0.011    0.000    0.146    0.000 Card_types.py:628(perform_legal_check)
    14151    0.011    0.000    0.028    0.000 {pandas._libs.lib.values_from_object}
    88946    0.011    0.000    0.011    0.000 M20_cards.py:2732(<lambda>)
    74499    0.011    0.000    0.011    0.000 Concepts.py:169(<lambda>)
      573    0.010    0.000    0.010    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1445    0.010    0.000    0.010    0.000 {pandas._libs.lib.array_equivalent_object}
    11230    0.010    0.000    0.045    0.000 Abilities_Effects.py:193(check_costs)
    16506    0.009    0.000    0.009    0.000 {method '__reduce_ex__' of 'object' objects}
       20    0.009    0.000    1.265    0.063 Zones.py:154(load_deck)
     6676    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     5830    0.009    0.000    0.015    0.000 numpy_.py:138(__init__)
     1371    0.009    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    76/53    0.009    0.000    0.057    0.001 {built-in method _imp.exec_dynamic}
     9582    0.008    0.000    0.034    0.000 Player.py:722(input_choose)
     9636    0.008    0.000    0.087    0.000 Concepts.py:329(get_possible_targets)
     2184    0.008    0.000    0.652    0.000 Game.py:359(give_priority)
      462    0.007    0.000    0.007    0.000 {method 'argsort' of 'numpy.ndarray' objects}
      246    0.007    0.000  233.589    0.950 Game.py:167(turn)
    63106    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
     4274    0.007    0.000    0.009    0.000 Zones.py:14(enter_zone)
      268    0.007    0.000    0.593    0.002 frame.py:6949(append)
    33012    0.007    0.000    0.023    0.000 copy.py:274(<genexpr>)
